DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
03/29/2024,1,4,DOW_64,RN,4.22,N
03/29/2024,1,4,DOW_81_2_84,RN,4.22,N
03/29/2024,1,4,DOW_G37_G35,RN,4.22,N
03/29/2024,1,4,DOW_G66_ST65,RN,4.22,N
03/29/2024,1,4,DOW_G67,RN,4.22,N
03/29/2024,1,4,DOW_G96_ST95,RN,4.22,N
03/29/2024,1,4,DRYFRIO_RN,RN,0.56,N
03/29/2024,1,4,DUKE_CC1,LCCRN,-9.83,N
03/29/2024,1,4,DUKE_GST1CCU,PCCRN,-9.83,N
03/29/2024,1,4,DUKE_GT2_CCU,PCCRN,-9.83,N
03/29/2024,1,4,DUP_PUN1,PUN,32.66,N
03/29/2024,1,4,DUP_PUN2,PUN,32.66,N
03/29/2024,1,4,DUP_PUN3,PUN,32.66,N
03/29/2024,1,4,DUP_PUN4,PUN,32.66,N
03/29/2024,1,4,EBELLS_UNIT1,RN,3.43,N
03/29/2024,1,4,EBNY_ESS_RN,RN,3.01,N
03/29/2024,1,4,ECLIPSE_UN1,RN,4.74,N
03/29/2024,1,4,EIFSLR_UNIT1,RN,2.94,N
03/29/2024,1,4,ELB_ELBCREEK,RN,-31.58,N
03/29/2024,1,4,ELECTRAW_1_2,RN,-5.34,N
03/29/2024,1,4,ELSAUZ_ALL,RN,-9.9,N
03/29/2024,1,4,ELSA_ESR_RN,RN,-9.84,N
03/29/2024,1,4,ELS_RN_1,RN,2.94,N
03/29/2024,1,4,EL_RAYO_ALL,RN,-9.92,N
03/29/2024,1,4,ENDPARK_ESS1,RN,-5.39,N
03/29/2024,1,4,ERSL_RN,RN,-5.14,N
03/29/2024,1,4,ESTONIAN_ALL,RN,2.95,N
03/29/2024,1,4,ETCCS_CC1,LCCRN,3.01,N
03/29/2024,1,4,ETCCS_CCU,PCCRN,3.01,N
03/29/2024,1,4,EUNICE_ALL,RN,11.14,N
03/29/2024,1,4,EXGNSND_RN,RN,-27.84,N
03/29/2024,1,4,EXGNWTL_1,RN,-9.81,N
03/29/2024,1,4,EXN_14,RN,4.04,N
03/29/2024,1,4,EXN_1_3,RN,4.04,N
03/29/2024,1,4,EXN_4,RN,4.04,N
03/29/2024,1,4,EXN_8,RN,4.04,N
03/29/2024,1,4,EXN_9_13,RN,4.04,N
03/29/2024,1,4,EXN_PUN1,PUN,4.04,N
03/29/2024,1,4,EXN_PUN2,PUN,4.04,N
03/29/2024,1,4,EXN_PUN3,PUN,4.04,N
03/29/2024,1,4,E_BLACK_RN,RN,3.58,N
03/29/2024,1,4,FALFUR_RN,RN,-8.98,N
03/29/2024,1,4,FAL_FALCONG1,RN,-28.08,N
03/29/2024,1,4,FAL_FALCONG2,RN,-28.08,N
03/29/2024,1,4,FAL_FALCONG3,RN,-28.08,N
03/29/2024,1,4,FAULKNER_RN,RN,12.99,N
03/29/2024,1,4,FEGC_RN,RN,4.17,N
03/29/2024,1,4,FENCESLR_ALL,RN,3.1,N
03/29/2024,1,4,FERGCC_CC1,LCCRN,7.41,N
03/29/2024,1,4,FERGCC_GT1_1,PCCRN,7.41,N
03/29/2024,1,4,FERGCC_GT2_3,PCCRN,7.41,N
03/29/2024,1,4,FERGCC_ST1_5,PCCRN,7.41,N
03/29/2024,1,4,FERMI_ALL,RN,-25,N
03/29/2024,1,4,FILESSLR_PV1,RN,3.03,N
03/29/2024,1,4,FIVEWSLR_ALL,RN,3.39,N
03/29/2024,1,4,FLCNS_CC1,LCCRN,-0.19,N
03/29/2024,1,4,FLCNS_UNIT1,PCCRN,-0.19,N
